id,name,barcode,category,description,quantity,price,cost,weight,expiration_date,date_received,last_updated,status
a1569f7f-f85e-414c-aa10-43fc9394b8ac,Electric Bike,GR17 7917 288X 1LXT A1TD N3NK TFT,Bicycles,Eco-friendly electric bike with a 30-mile range.,6517,722.4,85.24,93.14,2/13/2030,7/30/2026,10/22/2024,Inactive
f10254f3-b1f5-4c27-912e-38ebbca67ab4,Sunglasses,FR24 7753 7969 93Q8 HWW6 UECF R84,Accessories,Polarized sunglasses with UV protection.,6867,281.78,910.86,72.97,12/5/2022,7/1/2030,4/1/2029,Pending
4347f60c-9c3b-4b16-8a19-0b8077051e54,Infrared Thermometer Gun,FR85 9682 2937 07ZE NHCK V0Y1 U96,Health,Non-contact thermometer for quick and easy temperature readings.,2040,31.85,237.81,67.78,1/23/2025,12/13/2029,7/21/2025,Active
7d24f7e8-527e-44e0-b242-275d2383f620,Stainless Steel Water Pitcher,FR07 0861 8527 74CC J0HQ 6TJV I07,Kitchen,Insulated pitcher to keep beverages cold or hot.,8005,619.65,224.37,21.98,3/3/2024,4/15/2029,10/11/2028,Pending
8ef3e675-39f6-4ace-8a66-074bc4acee7e,Organic Ramen Noodles,CZ57 0631 5323 4117 9845 7526,Food - Pasta,Quick-cooking ramen noodles made with organic wheat.,3275,335.45,857.38,82.97,8/4/2024,8/6/2025,1/8/2029,Pending
db6cd8cb-7d29-4d0b-8212-c990767e10e2,Portable Ice Maker,ES08 8750 6981 9365 2544 0213,Kitchen,Compact ice maker for creating ice at home or in offices.,1502,426.53,871.3,81.08,3/1/2025,11/27/2027,12/19/2028,Pending
69278f14-b4ee-45ef-b18e-bd5e804baa57,Over-the-Door Hooks,IT65 H080 0616 6905 CTIP PFIV ERX,Home,Convenient hooks that utilize door space for hanging items.,3837,95.08,52.84,77.58,7/10/2030,8/13/2025,4/3/2026,Inactive
21704a40-f2ff-4cff-b71a-a20763632a5e,Peach Halves (canned),LU38 292U HHHI RSX1 XSFB,Food - Canned Goods,"Sweet peach halves packed in juice, great for desserts.",3940,533.86,838.15,6.8,5/16/2029,4/28/2028,11/17/2024,Pending
6d865c02-92ab-427c-9c78-49b184fa9da9,Pasta Sauce Mix,GB53 SIDU 5753 4383 3460 04,Food - Sauces,Just add water for a quick pasta sauce.,2983,751.67,559.63,57.59,2/24/2028,5/20/2030,11/2/2025,Pending
669b0e16-ed2e-4929-bcfb-84dbd82c02b4,Italian Breadsticks,FR67 7113 9060 211B X0OJ XEE9 416,Food - Bakery,Crispy breadsticks seasoned with herbs and garlic.,351,232.26,436.95,14.17,2/16/2026,3/3/2022,8/2/2024,Pending
93d68cd5-fcf6-43cc-9680-455123eb2e23,Apple Cinnamon Granola,BG09 HARU 5315 68SB ETRD RK,Food - Breakfast,A wholesome granola with bits of apple and a touch of cinnamon.,514,998.88,232.92,8.93,6/6/2029,9/27/2030,6/9/2026,Inactive
5f42547b-2e7d-4988-b9af-bc7dadd307b2,Rechargeable Hand Warmer,PL35 6820 1592 4201 6230 0665 8203,Accessories,Portable rechargeable warmer for cold days.,5400,868.42,305.67,0.92,3/25/2029,9/11/2025,10/31/2023,Pending
